Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
198303,0.003165,0.016747,-0.015617
198304,0.001425,0.019173,0.02762
198305,0.005752,0.006428,-0.045175
198306,0.003193,-0.008471,-0.002739
198307,0.001386,0.003301,-0.05563
198308,0.005812,0.003097,-0.005577
198309,0.003144,-0.010724,0.042534
198310,0.001849,0.010802,-0.020614
198311,0.005854,-0.004072,0.011233
198312,0.00317,0.002585,-0.013044
198401,0.002022,0.00258,0.016642
198402,0.005323,0.000611,-0.02476
198403,0.003597,-0.007985,-0.022754
198404,0.001843,0.003285,-0.018538
198405,0.005862,0.00349,-0.058985
198406,0.004151,0.004855,0.007382
198407,0.002075,-0.010003,0.060615
198408,0.006383,0.003952,0.018186
198409,0.003131,-0.002756,0.025442
198410,0.00311,0.001054,0.045675
198411,0.00493,0.00929,0.004433
198412,0.003704,0.003704,0.002619
198501,0.002363,-0.003764,0.029734
198502,0.005031,0.012612,-0.054754
198503,0.003372,-0.012404,0.024375
198504,0.001898,0.005241,0.016949
198505,0.005429,-0.006949,0.08239
198506,0.00323,-0.005795,0.008583
198507,0.002142,0.005988,-0.024076
198508,0.005212,0.000107,0.020276
198509,0.002929,0.009209,-0.00809
198510,0.00265,-0.000828,0.027092
198511,0.004937,-0.003013,0.033846
198512,0.003133,-0.006808,0.047265
198601,0.001993,0.007048,-0.008075
198602,0.004746,-0.035303,0.108675
198603,0.002678,-0.0477,0.070598
198604,0.001882,0.009667,-0.01313
198605,0.0041,0.035946,-0.055192
198606,0.002848,-0.037259,0.055806
198607,0.001962,0.014052,-0.015917
198608,0.004124,-0.021361,0.045119
198609,0.002417,0.040643,-0.054266
198610,0.002735,-0.009713,0.024137
198611,0.004681,-0.003322,0.022718
198612,0.002842,0.013474,-0.006592
198701,0.001716,0.00544,0.011873
198702,0.003746,-0.014095,0.015797
198703,0.002618,0.013858,-0.02683
198704,0.002117,-0.003044,-0.051512
198705,0.003564,0.005387,-0.014236
198706,0.002684,0.005652,0.00495
198707,0.002093,0.006038,-0.022301
198708,0.00357,0.0091,-0.021062
198709,0.002207,-0.005534,-0.041205
198710,0.002209,-0.010903,0.055975
198711,0.004539,0.008777,0.000238
198712,0.003255,0.00459,0.012571
198801,0.001935,-0.014012,0.063517
198802,0.006252,0.008536,0.00066
198803,0.002805,0.012246,-0.034923
198804,0.001975,0.001108,-0.020511
198805,0.004676,0.004526,-0.015156
198806,0.002873,0.00102,0.031835
198807,0.002691,0.005961,-0.021921
198808,0.004685,-0.000381,-0.000154
198809,0.002744,-0.001815,0.028137
198810,0.003521,-0.003349,0.024502
198811,0.005126,0.002785,-0.02515
198812,0.00363,-0.006992,0.004599
198901,0.003065,-0.000124,0.014732
198902,0.003987,0.005112,-0.023904
198903,0.002963,-0.005767,0.005495
198904,0.002095,0.005319,0.009087
198905,0.005139,-0.002132,0.031993
198906,0.002681,-0.014708,0.047586
198907,0.002434,-0.005839,0.016707
198908,0.004163,0.009814,-0.033008
198909,0.002648,0.002062,-0.004581
198910,0.002211,-0.009962,0.030966
198911,0.00373,-0.000804,0.000938
198912,0.0029,0.001231,-0.006659
199001,0.001973,0.015719,-0.039725
199002,0.004227,0.001273,-0.008103
199003,0.002637,0.003294,-0.010752
199004,0.002462,0.001123,-0.026888
199005,0.004617,-0.002902,0.034518
199006,0.002682,-0.001416,0.016694
199007,0.002302,-0.000468,0.003876
199008,0.004074,0.013203,-0.048106
199009,0.002355,-0.002553,0.005665
199010,0.002711,-0.008149,0.014606
199011,0.004546,-0.011249,0.034356
199012,0.003445,-0.001914,0.012586
199101,0.00225,0.00194,0.007818
199102,0.004285,0.009033,-0.001719
199103,0.002314,0.006963,-0.000578
199104,0.002303,-0.000226,0.008648
199105,0.003818,0.003851,-0.00465
199106,0.002382,0.004549,-0.010447
199107,0.001937,0.00094,0.010808
199108,0.003792,-0.006326,0.029296
199109,0.002258,-0.003149,0.025669
199110,0.001738,-0.001132,0.001187
199111,0.003562,0.002381,0.004267
199112,0.002849,-0.013686,0.054084
199201,0.001479,0.015616,-0.03568
199202,0.003356,0.004471,0.002272
199203,0.002495,0.002073,-0.012686
199204,0.001702,1.10E-05,-0.001655
199205,0.003391,0.001114,0.021442
199206,0.002619,-0.004318,0.016749
199207,0.001669,-0.008635,0.036588
199208,0.003434,0.002296,0.004073
199209,0.002349,-0.008488,0.015932
199210,0.001567,0.004295,-0.022046
199211,0.003539,0.005897,-0.001345
199212,0.002423,-0.001764,0.021723
